,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2008,Pacific Division
7,57,25,.695,—,108.6,101.3,7.34,2008,Los Angeles Lakers*
8,55,27,.671,2.0,110.1,105.0,5.14,2008,Phoenix Suns*
9,48,34,.585,9.0,111.0,108.8,2.38,2008,Golden State Warriors
10,38,44,.463,19.0,102.5,104.8,-1.86,2008,Sacramento Kings
11,23,59,.280,34.0,93.8,101.1,-6.56,2008,Los Angeles Clippers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2008,Southwest Division
13,56,26,.683,—,100.9,95.6,5.46,2008,New Orleans Hornets*
14,56,26,.683,—,95.4,90.6,5.10,2008,San Antonio Spurs*
15,55,27,.671,1.0,96.7,92.0,4.83,2008,Houston Rockets*
16,51,31,.622,5.0,100.4,95.9,4.70,2008,Dallas Mavericks*
17,22,60,.268,34.0,100.7,106.9,-5.76,2008,Memphis Grizzlies
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2009,Northwest Division
1,54,28,.659,—,104.3,100.9,3.13,2009,Denver Nuggets*
2,54,28,.659,—,99.4,94.1,5.00,2009,Portland Trail Blazers*
3,48,34,.585,6.0,103.6,100.9,2.31,2009,Utah Jazz*
4,24,58,.293,30.0,97.8,102.7,-4.74,2009,Minnesota Timberwolves
5,23,59,.280,31.0,97.0,103.1,-6.04,2009,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2009,Pacific Division
7,65,17,.793,—,106.9,99.3,7.11,2009,Los Angeles Lakers*
8,46,36,.561,19.0,109.4,107.5,1.62,2009,Phoenix Suns
9,29,53,.354,36.0,108.6,112.3,-3.80,2009,Golden State Warriors
10,19,63,.232,46.0,95.1,103.9,-8.47,2009,Los Angeles Clippers
11,17,65,.207,48.0,100.6,109.3,-8.60,2009,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2009,Southwest Division
13,54,28,.659,—,97.0,93.3,3.36,2009,San Antonio Spurs*
14,53,29,.646,1.0,98.4,94.4,3.73,2009,Houston Rockets*
15,50,32,.610,4.0,101.7,99.8,1.68,2009,Dallas Mavericks*
16,49,33,.598,5.0,95.8,94.3,1.41,2009,New Orleans Hornets*
17,24,58,.293,30.0,93.9,99.3,-5.23,2009,Memphis Grizzlies
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2010,Northwest Division
1,53,29,.646,—,106.5,102.4,4.15,2010,Denver Nuggets*
2,53,29,.646,—,104.2,98.9,5.33,2010,Utah Jazz*
3,50,32,.610,3.0,98.1,94.8,3.18,2010,Portland Trail Blazers*
4,50,32,.610,3.0,101.5,98.0,3.55,2010,Oklahoma City Thunder*
5,15,67,.183,38.0,98.2,107.8,-9.06,2010,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2010,Pacific Division
7,57,25,.695,—,101.7,97.0,4.78,2010,Los Angeles Lakers*
8,54,28,.659,3.0,110.2,105.3,4.67,2010,Phoenix Suns*
9,29,53,.354,28.0,95.7,102.1,-6.01,2010,Los Angeles Clippers
10,26,56,.317,31.0,108.8,112.4,-3.28,2010,Golden State Warriors
11,25,57,.305,32.0,100.0,104.4,-4.06,2010,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2010,Southwest Division
13,55,27,.671,—,102.0,99.3,2.66,2010,Dallas Mavericks*
14,50,32,.610,5.0,101.4,96.3,5.07,2010,San Antonio Spurs*
15,42,40,.512,13.0,102.4,102.7,-0.02,2010,Houston Rockets
16,40,42,.488,15.0,102.5,104.0,-1.39,2010,Memphis Grizzlies
17,37,45,.451,18.0,100.2,102.7,-2.27,2010,New Orleans Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2011,Northwest Division
1,55,27,.671,—,104.8,101.0,3.81,2011,Oklahoma City Thunder*
2,50,32,.610,5.0,107.5,102.7,4.81,2011,Denver Nuggets*
3,48,34,.585,7.0,96.3,94.8,1.85,2011,Portland Trail Blazers*
4,39,43,.476,16.0,99.4,101.3,-1.44,2011,Utah Jazz
5,17,65,.207,38.0,101.1,107.7,-5.97,2011,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2011,Pacific Division
7,57,25,.695,—,101.5,95.4,6.01,2011,Los Angeles Lakers*
8,40,42,.488,17.0,105.0,105.9,-0.46,2011,Phoenix Suns
9,36,46,.439,21.0,103.4,105.7,-2.00,2011,Golden State Warriors
10,32,50,.390,25.0,98.6,101.8,-2.71,2011,Los Angeles Clippers
11,24,58,.293,33.0,99.4,104.7,-4.80,2011,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2011,Southwest Division
13,61,21,.744,—,103.7,98.0,5.86,2011,San Antonio Spurs*
14,57,25,.695,4.0,100.2,96.0,4.41,2011,Dallas Mavericks*
15,46,36,.561,15.0,94.9,94.0,1.28,2011,New Orleans Hornets*
16,46,36,.561,15.0,99.9,97.6,2.55,2011,Memphis Grizzlies*
17,43,39,.524,18.0,105.9,103.7,2.37,2011,Houston Rockets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2012,Northwest Division
1,47,19,.712,—,103.1,96.9,6.44,2012,Oklahoma City Thunder*
2,38,28,.576,9.0,104.1,101.2,3.16,2012,Denver Nuggets*
3,36,30,.545,11.0,99.7,99.0,0.92,2012,Utah Jazz*
4,28,38,.424,19.0,97.2,97.8,-0.22,2012,Portland Trail Blazers
5,26,40,.394,21.0,97.9,100.1,-1.83,2012,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2012,Pacific Division
7,41,25,.621,—,97.3,95.9,1.96,2012,Los Angeles Lakers*
8,40,26,.606,1.0,97.5,95.0,2.82,2012,Los Angeles Clippers*
9,33,33,.500,8.0,98.4,98.6,0.29,2012,Phoenix Suns
10,23,43,.348,18.0,97.8,101.2,-2.79,2012,Golden State Warriors
11,22,44,.333,19.0,98.8,104.4,-4.95,2012,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2012,Southwest Division
13,50,16,.758,—,103.7,96.5,7.28,2012,San Antonio Spurs*
14,41,25,.621,9.0,95.0,93.0,2.43,2012,Memphis Grizzlies*
15,36,30,.545,14.0,95.8,94.8,1.78,2012,Dallas Mavericks*
16,34,32,.515,16.0,98.1,97.9,0.57,2012,Houston Rockets
17,21,45,.318,29.0,89.6,93.4,-3.11,2012,New Orleans Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2013,Northwest Division
1,60,22,.732,—,105.7,96.5,9.15,2013,Oklahoma City Thunder*
2,57,25,.695,3.0,106.1,101.1,5.37,2013,Denver Nuggets*
3,43,39,.524,17.0,98.0,98.1,0.30,2013,Utah Jazz
4,33,49,.402,27.0,97.5,100.7,-2.53,2013,Portland Trail Blazers
5,31,51,.378,29.0,95.7,98.1,-1.83,2013,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2013,Pacific Division
7,56,26,.683,—,101.1,94.6,6.43,2013,Los Angeles Clippers*
8,47,35,.573,9.0,101.2,100.3,1.32,2013,Golden State Warriors*
9,45,37,.549,11.0,102.2,101.0,1.48,2013,Los Angeles Lakers*
10,28,54,.341,28.0,100.2,105.1,-4.26,2013,Sacramento Kings
11,25,57,.305,31.0,95.2,101.6,-5.75,2013,Phoenix Suns
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2013,Southwest Division
13,58,24,.707,—,103.0,96.6,6.67,2013,San Antonio Spurs*
14,56,26,.683,2.0,93.4,89.3,4.32,2013,Memphis Grizzlies*
15,45,37,.549,13.0,106.0,102.5,3.69,2013,Houston Rockets*
16,41,41,.500,17.0,101.1,101.7,-0.24,2013,Dallas Mavericks
17,27,55,.329,31.0,94.1,97.9,-3.12,2013,New Orleans Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2014,Northwest Division
1,59,23,.720,—,106.2,99.8,6.66,2014,Oklahoma City Thunder*
2,54,28,.659,5.0,106.7,102.8,4.44,2014,Portland Trail Blazers*
3,40,42,.488,19.0,106.9,104.3,3.10,2014,Minnesota Timberwolves
4,36,46,.439,23.0,104.4,106.5,-1.40,2014,Denver Nuggets
5,25,57,.305,34.0,95.0,102.2,-6.27,2014,Utah Jazz
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2014,Pacific Division
7,57,25,.695,—,107.9,101.0,7.27,2014,Los Angeles Clippers*
8,51,31,.622,6.0,104.3,99.5,5.15,2014,Golden State Warriors*
9,48,34,.585,9.0,105.2,102.6,3.02,2014,Phoenix Suns
10,28,54,.341,29.0,100.5,103.4,-2.08,2014,Sacramento Kings
11,27,55,.329,30.0,103.0,109.2,-5.33,2014,Los Angeles Lakers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2014,Southwest Division
13,62,20,.756,—,105.4,97.6,8.00,2014,San Antonio Spurs*
14,54,28,.659,8.0,107.7,103.1,5.06,2014,Houston Rockets*
15,50,32,.610,12.0,96.1,94.6,2.18,2014,Memphis Grizzlies*
16,49,33,.598,13.0,104.8,102.4,2.91,2014,Dallas Mavericks*
17,34,48,.415,28.0,99.7,102.4,-1.98,2014,New Orleans Pelicans
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2015,Northwest Division
1,51,31,.622,—,102.8,98.6,4.41,2015,Portland Trail Blazers*
2,45,37,.549,6.0,104.0,101.8,2.47,2015,Oklahoma City Thunder
3,38,44,.463,13.0,95.1,94.9,0.71,2015,Utah Jazz
4,30,52,.366,21.0,101.5,105.0,-3.07,2015,Denver Nuggets
5,16,66,.195,35.0,97.8,106.5,-8.00,2015,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2015,Pacific Division
7,67,15,.817,—,110.0,99.9,10.01,2015,Golden State Warriors*
8,56,26,.683,11.0,106.7,100.1,6.80,2015,Los Angeles Clippers*
9,39,43,.476,28.0,102.4,103.3,-0.38,2015,Phoenix Suns
10,29,53,.354,38.0,101.3,105.0,-3.07,2015,Sacramento Kings
11,21,61,.256,46.0,98.5,105.3,-6.17,2015,Los Angeles Lakers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2015,Southwest Division
13,56,26,.683,—,103.9,100.5,3.82,2015,Houston Rockets*
14,55,27,.671,1.0,98.3,95.1,3.62,2015,Memphis Grizzlies*
15,55,27,.671,1.0,103.2,97.0,6.34,2015,San Antonio Spurs*
16,50,32,.610,6.0,105.2,102.3,3.36,2015,Dallas Mavericks*
17,45,37,.549,11.0,99.4,98.6,1.13,2015,New Orleans Pelicans*
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2016,Northwest Division
1,55,27,.671,—,110.2,102.9,7.09,2016,Oklahoma City Thunder*
2,44,38,.537,11.0,105.1,104.3,0.98,2016,Portland Trail Blazers*
3,40,42,.488,15.0,97.7,95.9,1.84,2016,Utah Jazz
4,33,49,.402,22.0,101.9,105.0,-2.81,2016,Denver Nuggets
5,29,53,.354,26.0,102.4,106.0,-3.38,2016,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2016,Pacific Division
7,73,9,.890,—,114.9,104.1,10.38,2016,Golden State Warriors*
8,53,29,.646,20.0,104.5,100.2,4.13,2016,Los Angeles Clippers*
9,33,49,.402,40.0,106.6,109.1,-2.32,2016,Sacramento Kings
10,23,59,.280,50.0,100.9,107.5,-6.32,2016,Phoenix Suns
11,17,65,.207,56.0,97.3,106.9,-8.92,2016,Los Angeles Lakers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2016,Southwest Division
13,67,15,.817,—,103.5,92.9,10.28,2016,San Antonio Spurs*
14,42,40,.512,25.0,102.3,102.6,-0.02,2016,Dallas Mavericks*
15,42,40,.512,25.0,99.1,101.3,-2.14,2016,Memphis Grizzlies*
16,41,41,.500,26.0,106.5,106.4,0.34,2016,Houston Rockets*
17,30,52,.366,37.0,102.7,106.5,-3.56,2016,New Orleans Pelicans
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2017,Northwest Division
1,51,31,.622,—,100.7,96.8,4.00,2017,Utah Jazz*
2,47,35,.573,4.0,106.6,105.8,1.14,2017,Oklahoma City Thunder*
3,41,41,.500,10.0,107.9,108.5,-0.23,2017,Portland Trail Blazers*
4,40,42,.488,11.0,111.7,111.2,0.70,2017,Denver Nuggets
5,31,51,.378,20.0,105.6,106.7,-0.64,2017,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,Pacific Division
7,67,15,.817,—,115.9,104.3,11.35,2017,Golden State Warriors*
8,51,31,.622,16.0,108.7,104.4,4.42,2017,Los Angeles Clippers*
9,32,50,.390,35.0,102.8,106.7,-3.29,2017,Sacramento Kings
10,26,56,.317,41.0,104.6,111.5,-6.29,2017,Los Angeles Lakers
11,24,58,.293,43.0,107.7,113.3,-5.14,2017,Phoenix Suns
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2017,Southwest Division
13,61,21,.744,—,105.3,98.1,7.13,2017,San Antonio Spurs*
14,55,27,.671,6.0,115.3,109.6,5.84,2017,Houston Rockets*
15,43,39,.524,18.0,100.5,100.0,0.96,2017,Memphis Grizzlies*
16,34,48,.415,27.0,104.3,106.4,-1.69,2017,New Orleans Pelicans
17,33,49,.402,28.0,97.9,100.8,-2.53,2017,Dallas Mavericks
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2018,Northwest Division
1,49,33,.598,—,105.6,103.0,2.60,2018,Portland Trail Blazers*
2,48,34,.585,1.0,107.9,104.4,3.42,2018,Oklahoma City Thunder*
3,48,34,.585,1.0,104.1,99.8,4.47,2018,Utah Jazz*
4,47,35,.573,2.0,109.5,107.3,2.35,2018,Minnesota Timberwolves*
5,46,36,.561,3.0,110.0,108.5,1.57,2018,Denver Nuggets
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2018,Pacific Division
7,58,24,.707,—,113.5,107.5,5.79,2018,Golden State Warriors*
8,42,40,.512,16.0,109.0,109.0,0.15,2018,Los Angeles Clippers
9,35,47,.427,23.0,108.1,109.6,-1.44,2018,Los Angeles Lakers
10,27,55,.329,31.0,98.8,105.8,-6.60,2018,Sacramento Kings
11,21,61,.256,37.0,103.9,113.3,-8.80,2018,Phoenix Suns
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2018,Southwest Division
13,65,17,.793,—,112.4,103.9,8.21,2018,Houston Rockets*
14,48,34,.585,17.0,111.7,110.4,1.48,2018,New Orleans Pelicans*
15,47,35,.573,18.0,102.7,99.8,2.89,2018,San Antonio Spurs*
16,24,58,.293,41.0,102.3,105.4,-2.70,2018,Dallas Mavericks
17,22,60,.268,43.0,99.3,105.5,-5.81,2018,Memphis Grizzlies
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2019,Northwest Division
1,54,28,.659,—,110.7,106.7,4.19,2019,Denver Nuggets*
2,53,29,.646,1.0,114.7,110.5,4.43,2019,Portland Trail Blazers*
3,50,32,.610,4.0,111.7,106.5,5.28,2019,Utah Jazz*
4,49,33,.598,5.0,114.5,111.1,3.56,2019,Oklahoma City Thunder*
5,36,46,.439,18.0,112.5,114.0,-1.02,2019,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2019,Pacific Division
7,57,25,.695,—,117.7,111.2,6.42,2019,Golden State Warriors*
8,48,34,.585,9.0,115.1,114.3,1.09,2019,Los Angeles Clippers*
9,39,43,.476,18.0,114.2,115.3,-0.81,2019,Sacramento Kings
10,37,45,.451,20.0,111.8,113.5,-1.33,2019,Los Angeles Lakers
11,19,63,.232,38.0,107.5,116.8,-8.61,2019,Phoenix Suns
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2019,Southwest Division
13,53,29,.646,—,113.9,109.1,4.96,2019,Houston Rockets*
14,48,34,.585,5.0,111.7,110.0,1.80,2019,San Antonio Spurs*
15,33,49,.402,20.0,103.5,106.1,-2.08,2019,Memphis Grizzlies
16,33,49,.402,20.0,115.4,116.8,-1.10,2019,New Orleans Pelicans
17,33,49,.402,20.0,108.9,110.1,-0.87,2019,Dallas Mavericks
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2020,Northwest Division
1,46,27,.630,—,111.3,109.2,2.35,2020,Denver Nuggets*
2,44,28,.611,1.5,110.4,108.4,2.33,2020,Oklahoma City Thunder*
3,44,28,.611,1.5,111.3,108.8,2.52,2020,Utah Jazz*
4,35,39,.473,11.5,115.0,116.1,-0.61,2020,Portland Trail Blazers*
5,19,45,.297,22.5,113.3,117.5,-4.02,2020,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2020,Pacific Division
7,52,19,.732,—,113.4,107.6,6.28,2020,Los Angeles Lakers*
8,49,23,.681,3.5,116.3,109.9,6.66,2020,Los Angeles Clippers*
9,34,39,.466,19.0,113.6,113.4,0.56,2020,Phoenix Suns
10,31,41,.431,21.5,110.1,112.1,-1.59,2020,Sacramento Kings
11,15,50,.231,34.0,106.3,115.0,-8.12,2020,Golden State Warriors
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2020,Southwest Division
13,44,28,.611,—,117.8,114.8,3.13,2020,Houston Rockets*
14,43,32,.573,2.5,117.0,112.1,4.87,2020,Dallas Mavericks*
15,34,39,.466,10.5,112.6,113.7,-0.91,2020,Memphis Grizzlies
16,32,39,.451,11.5,114.1,115.2,-0.65,2020,San Antonio Spurs
17,30,42,.417,14.0,115.8,117.1,-0.55,2020,New Orleans Pelicans
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2021,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2021,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2021,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2021,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2021,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2021,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2021,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2021,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2021,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2021,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2021,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2021,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2021,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2021,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2021,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2021,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2021,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2021,Houston Rockets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2022,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2022,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2022,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2022,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2022,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2022,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2022,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2022,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2022,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2022,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2022,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2022,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2022,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2022,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2022,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2022,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2022,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2022,Houston Rockets
